ano,unidade,nome_unidade_norm,demanda_efetiva_prevista,demanda_cenario_persistencia,demanda_p025_condicional,demanda_p975_condicional,status_em_2025,tipo_oferta,tipo_unidade,cre,microarea,bairro,latitude,longitude,matriculas_2025_proxy_capacidade,rede,capacity_concept,capacity_coverage,planning_gap,planning_gap_p025,planning_gap_p975,planning_gap_persistencia,gap_positivo
2026,0625614,CM SIMONE DE BEAUVOIR,186.93475364938567,148.25922839612696,109.92054818215092,283.26784354065944,continuante,Pública,Creche,6.0,6.5,Costa Barros,-22.814685,-43.367493,119.0,publica,matriculas_2025_proxy,True,67.93475364938567,-9.079451817849076,164.26784354065944,29.259228396126957,True
2026,05015,CP AEMMAC - ROCHA MIRANDA,186.4480127725464,165.1023844813817,106.73555564908406,286.6551032556744,continuante,Parceira,Creche Parceira,5.0,5.1,ROCHA MIRANDA,-22.84070048,-43.34991116,253.0,parceira,matriculas_2025_proxy,True,-66.5519872274536,-146.26444435091594,33.65510325567442,-87.8976155186183,False
2026,09031,CP ESPACO CRIATIVO TURMINHA DO BAIRRO,185.6931559322404,144.75263256425256,110.94690157470563,279.19983769180607,continuante,Parceira,Creche Parceira,9.0,9.18,CAMPO GRANDE,-22.89867,-43.57786,76.0,parceira,matriculas_2025_proxy,True,109.69315593224039,34.946901574705635,203.19983769180607,68.75263256425256,True
2026,08007,CP CRECHE E ESCOLA COMUNITARIA GENTE INOCENTE - BANGU,185.65462095362943,147.830067643102,110.09094114507543,280.2518291201691,continuante,Parceira,Creche Parceira,8.0,8.8,BANGU,-22.86206558,-43.45701633,210.0,parceira,matriculas_2025_proxy,True,-24.345379046370567,-99.90905885492457,70.25182912016908,-62.16993235689799,False
2026,0430815,EDI PESCADOR ALBANO ROSA,184.2321548019394,162.91725566109116,108.76906941037608,278.58723769431754,continuante,Pública,EDI,4.0,4.6,Bonsucesso,-22.86549,-43.23884,49.0,publica,matriculas_2025_proxy,True,135.2321548019394,59.769069410376076,229.58723769431754,113.91725566109116,True
2026,09014,CP INSTITUTO DE ENSINO AVANCADO,184.04083601717028,158.69225353875396,108.97352146068155,277.8582126824041,continuante,Parceira,Creche Parceira,9.0,9.13,COSMOS,-22.91434,-43.61417,140.0,parceira,matriculas_2025_proxy,True,44.04083601717028,-31.026478539318447,137.8582126824041,18.69225353875396,True
2026,04022,CP CRECHE VALE DO SOL NO GROTAO,179.19150520393703,175.38046441819546,102.99519900679036,274.295773326464,continuante,Parceira,Creche Parceira,4.0,4.16,PENHA,-22.84533897,-43.28999995,265.0,parceira,matriculas_2025_proxy,True,-85.80849479606297,-162.00480099320964,9.295773326463973,-89.61953558180454,False
2026,0734802,EDI SENHORA PERCILIANA PEREIRA DE ALVARENGA,179.08994285099274,155.9707057469517,105.1488122072272,271.69458447120667,continuante,Pública,EDI,7.0,7.14,Jacarepaguá,-22.94965,-43.356636,73.0,publica,matriculas_2025_proxy,True,106.08994285099274,32.148812207227195,198.69458447120667,82.9707057469517,True
2026,0205601,CM IRMAS BAPTISTA,178.78673188788733,174.33381734479312,102.67263194033684,273.9555899945999,continuante,Pública,Creche,2.0,2.3,Copacabana,-22.966176,-43.18712,86.0,publica,matriculas_2025_proxy,True,92.78673188788733,16.672631940336842,187.9555899945999,88.33381734479312,True
2026,04040,CP ASSOCIACAO CENTRO EDUCACIONAL REBRAL X,177.78619197043872,170.98181989033614,100.6845719429036,274.0104259418131,continuante,Parceira,Creche Parceira,4.0,4.21,JARDIM AMÉRICA,-22.80994784,-43.31967943,273.0,parceira,matriculas_2025_proxy,True,-95.21380802956128,-172.3154280570964,1.0104259418130823,-102.01818010966386,False
