ano,unidade,grupamento_norm,ano_matricula,nome_unidade,matriculas_ano_anterior,rede,capacity_concept
2024,0102606,MATERNAL I,2023,CM GEORGE SAVALLA GOMES - PALHAÇO CAREQUINHA,45,publica,matriculas_ano_anterior_proxy
2024,0102606,MATERNAL II,2023,CM GEORGE SAVALLA GOMES - PALHAÇO CAREQUINHA,0,publica,matriculas_ano_anterior_proxy
2024,0102802,BERCARIO,2023,EDI CAMPOS SALLES,0,publica,matriculas_ano_anterior_proxy
2024,0102802,MATERNAL I,2023,EDI CAMPOS SALLES,0,publica,matriculas_ano_anterior_proxy
2024,0102802,MATERNAL II,2023,EDI CAMPOS SALLES,0,publica,matriculas_ano_anterior_proxy
2024,0102803,BERCARIO,2023,EDI RACHEL DE QUEIROZ,0,publica,matriculas_ano_anterior_proxy
2024,0102803,MATERNAL I,2023,EDI RACHEL DE QUEIROZ,0,publica,matriculas_ano_anterior_proxy
2024,0102803,MATERNAL II,2023,EDI RACHEL DE QUEIROZ,0,publica,matriculas_ano_anterior_proxy
2024,0103001,BERCARIO,2023,EM ESTADOS UNIDOS,0,publica,matriculas_ano_anterior_proxy
2024,0103001,MATERNAL I,2023,EM ESTADOS UNIDOS,0,publica,matriculas_ano_anterior_proxy
2024,0103001,MATERNAL II,2023,EM ESTADOS UNIDOS,0,publica,matriculas_ano_anterior_proxy
2024,0103003,BERCARIO,2023,EM MEM DE SÁ,0,publica,matriculas_ano_anterior_proxy
2024,0103003,MATERNAL I,2023,EM MEM DE SÁ,0,publica,matriculas_ano_anterior_proxy
2024,0103003,MATERNAL II,2023,EM MEM DE SÁ,0,publica,matriculas_ano_anterior_proxy
2024,0103004,BERCARIO,2023,EM PEREIRA PASSOS,0,publica,matriculas_ano_anterior_proxy
2024,0103004,MATERNAL I,2023,EM PEREIRA PASSOS,0,publica,matriculas_ano_anterior_proxy
2024,0103004,MATERNAL II,2023,EM PEREIRA PASSOS,0,publica,matriculas_ano_anterior_proxy
2024,0103005,BERCARIO,2023,EM MARIO CLAUDIO,0,publica,matriculas_ano_anterior_proxy
2024,0103005,MATERNAL I,2023,EM MARIO CLAUDIO,0,publica,matriculas_ano_anterior_proxy
2024,0103005,MATERNAL II,2023,EM MARIO CLAUDIO,0,publica,matriculas_ano_anterior_proxy
2024,0103006,BERCARIO,2023,EM JENNY GOMES,0,publica,matriculas_ano_anterior_proxy
2024,0103006,MATERNAL I,2023,EM JENNY GOMES,0,publica,matriculas_ano_anterior_proxy
2024,0103006,MATERNAL II,2023,EM JENNY GOMES,0,publica,matriculas_ano_anterior_proxy
2024,0103501,BERCARIO,2023,EM DO CATUMBI,0,publica,matriculas_ano_anterior_proxy
2024,0103501,MATERNAL I,2023,EM DO CATUMBI,0,publica,matriculas_ano_anterior_proxy
2024,0103501,MATERNAL II,2023,EM DO CATUMBI,0,publica,matriculas_ano_anterior_proxy
2024,0103502,BERCARIO,2023,EM CANADÁ,0,publica,matriculas_ano_anterior_proxy
2024,0103502,MATERNAL I,2023,EM CANADÁ,0,publica,matriculas_ano_anterior_proxy
2024,0103502,MATERNAL II,2023,EM CANADÁ,0,publica,matriculas_ano_anterior_proxy
2024,0103601,BERCARIO,2023,CM ESPAÇO LIVRE DA CRIANÇA,0,publica,matriculas_ano_anterior_proxy
2024,0103601,MATERNAL I,2023,CM ESPAÇO LIVRE DA CRIANÇA,24,publica,matriculas_ano_anterior_proxy
