ano,territorio,grupamento_modelo,inscritos,universo_elegivel_proxy,tendencia,tend_bercario,tend_maternal_i,tend_maternal_ii
2021,PORTUGUESA,Maternal I,33,143.0,0,0,0,0
2021,PORTUGUESA,Maternal II,18,178.0,0,0,0,0
2021,PRACA BANDEIRA,Bercario,15,171.0,0,0,0,0
2021,PRACA BANDEIRA,Maternal I,4,68.0,0,0,0,0
2021,PRACA BANDEIRA,Maternal II,12,93.0,0,0,0,0
2021,PRACA SECA,Bercario,188,1377.0,0,0,0,0
2021,PRACA SECA,Maternal I,223,814.0,0,0,0,0
2021,PRACA SECA,Maternal II,206,905.0,0,0,0,0
2021,PRAIA BANDEIRA,Bercario,6,62.0,0,0,0,0
2021,PRAIA BANDEIRA,Maternal I,6,45.0,0,0,0,0
2021,PRAIA BANDEIRA,Maternal II,5,54.0,0,0,0,0
2021,QUINTINO BOCAIUVA,Bercario,52,543.0,0,0,0,0
2021,QUINTINO BOCAIUVA,Maternal I,26,346.0,0,0,0,0
2021,QUINTINO BOCAIUVA,Maternal II,60,353.0,0,0,0,0
2021,RAMOS,Bercario,254,1573.0,0,0,0,0
2021,RAMOS,Maternal I,176,633.0,0,0,0,0
2021,RAMOS,Maternal II,237,554.0,0,0,0,0
2021,REALENGO,Bercario,613,4010.0,0,0,0,0
2021,REALENGO,Maternal I,658,2182.0,0,0,0,0
2021,REALENGO,Maternal II,449,2115.0,0,0,0,0
2021,RECREIO BANDEIRANTES,Bercario,205,2862.0,0,0,0,0
2021,RECREIO BANDEIRANTES,Maternal I,179,1425.0,0,0,0,0
2021,RECREIO BANDEIRANTES,Maternal II,162,1337.0,0,0,0,0
2021,RIACHUELO,Bercario,10,193.0,0,0,0,0
2021,RIACHUELO,Maternal I,6,102.0,0,0,0,0
2021,RIACHUELO,Maternal II,5,92.0,0,0,0,0
2021,RIBEIRA,Bercario,2,56.0,0,0,0,0
2021,RIBEIRA,Maternal I,2,28.0,0,0,0,0
2021,RIBEIRA,Maternal II,2,34.0,0,0,0,0
2021,RICARDO ALBUQUERQUE,Bercario,111,640.0,0,0,0,0
2021,RICARDO ALBUQUERQUE,Maternal I,129,370.0,0,0,0,0
2021,RICARDO ALBUQUERQUE,Maternal II,126,349.0,0,0,0,0
2021,RIO COMPRIDO,Bercario,230,911.0,0,0,0,0
2021,RIO COMPRIDO,Maternal I,106,510.0,0,0,0,0
2021,RIO COMPRIDO,Maternal II,91,549.0,0,0,0,0
2021,ROCHA,Bercario,54,299.0,0,0,0,0
2021,ROCHA,Maternal I,19,146.0,0,0,0,0
2021,ROCHA,Maternal II,18,176.0,0,0,0,0
2021,ROCHA MIRANDA,Bercario,119,874.0,0,0,0,0
2021,ROCHA MIRANDA,Maternal I,137,548.0,0,0,0,0
2021,ROCHA MIRANDA,Maternal II,161,545.0,0,0,0,0
2021,ROCINHA,Bercario,88,1694.0,0,0,0,0
2021,ROCINHA,Maternal I,59,950.0,0,0,0,0
2021,ROCINHA,Maternal II,44,1086.0,0,0,0,0
2021,SAMPAIO,Bercario,48,264.0,0,0,0,0
2021,SAMPAIO,Maternal I,32,163.0,0,0,0,0
2021,SAMPAIO,Maternal II,12,143.0,0,0,0,0
2021,SANTA CRUZ,Bercario,976,7209.0,0,0,0,0
2021,SANTA CRUZ,Maternal I,1005,3816.0,0,0,0,0
2021,SANTA CRUZ,Maternal II,502,3871.0,0,0,0,0
2021,SANTA TERESA,Bercario,188,787.0,0,0,0,0
2021,SANTA TERESA,Maternal I,98,438.0,0,0,0,0
2021,SANTA TERESA,Maternal II,48,410.0,0,0,0,0
2021,SANTISSIMO,Bercario,257,1434.0,0,0,0,0
2021,SANTISSIMO,Maternal I,238,761.0,0,0,0,0
2021,SANTISSIMO,Maternal II,182,772.0,0,0,0,0
2021,SANTO CRISTO,Bercario,78,377.0,0,0,0,0
2021,SANTO CRISTO,Maternal I,45,215.0,0,0,0,0
2021,SANTO CRISTO,Maternal II,39,193.0,0,0,0,0
2021,SAO CONRADO,Bercario,14,188.0,0,0,0,0
2021,SAO CONRADO,Maternal I,7,98.0,0,0,0,0
2021,SAO CONRADO,Maternal II,6,79.0,0,0,0,0
2021,SAO CRISTOVAO,Bercario,254,1062.0,0,0,0,0
2021,SAO CRISTOVAO,Maternal I,172,581.0,0,0,0,0
2021,SAO CRISTOVAO,Maternal II,87,474.0,0,0,0,0
2021,SAO FRANCISCO XAVIER,Bercario,13,123.0,0,0,0,0
2021,SAO FRANCISCO XAVIER,Maternal I,10,63.0,0,0,0,0
2021,SAO FRANCISCO XAVIER,Maternal II,1,81.0,0,0,0,0
2021,SAUDE,Bercario,4,88.0,0,0,0,0
2021,SAUDE,Maternal I,4,41.0,0,0,0,0
2021,SAUDE,Maternal II,10,52.0,0,0,0,0
2021,SENADOR CAMARA,Bercario,419,2501.0,0,0,0,0
2021,SENADOR CAMARA,Maternal I,460,1396.0,0,0,0,0
2021,SENADOR CAMARA,Maternal II,305,1422.0,0,0,0,0
2021,SENADOR VASCONCELOS,Bercario,146,645.0,0,0,0,0
2021,SENADOR VASCONCELOS,Maternal I,121,387.0,0,0,0,0
2021,SENADOR VASCONCELOS,Maternal II,133,411.0,0,0,0,0
2021,SEPETIBA,Bercario,257,1599.0,0,0,0,0
2021,SEPETIBA,Maternal I,161,833.0,0,0,0,0
2021,SEPETIBA,Maternal II,136,797.0,0,0,0,0
2021,TANQUE,Bercario,166,949.0,0,0,0,0
2021,TANQUE,Maternal I,170,580.0,0,0,0,0
