ano,territorio,grupamento_modelo,inscritos,universo_elegivel_proxy,tendencia,tend_bercario,tend_maternal_i,tend_maternal_ii,ano_caged_lag1,caged_taxa_lag1,caged_estoque_dez_lag1,previsto,taxa_anterior,prev_persistencia,modelo
2026,CURICICA,Maternal I,0,449.0,5,0,5,0,2025,0.019417862207853187,2125526,194.24442404041116,0.28345323741007195,127.2705035971223,PPML-FE base replicado
2026,CURICICA,Maternal II,0,695.0,5,0,0,5,2025,0.019417862207853187,2125526,145.9976938361879,0.23052959501557632,160.21806853582555,PPML-FE base replicado
2026,DEL CASTILHO,Bercario,0,440.0,5,5,0,0,2025,0.019417862207853187,2125526,114.89474474272663,0.3479212253829322,153.08533916849015,PPML-FE base replicado
2026,DEL CASTILHO,Maternal I,0,225.0,5,0,5,0,2025,0.019417862207853187,2125526,88.38579624050992,0.27615062761506276,62.13389121338912,PPML-FE base replicado
2026,DEL CASTILHO,Maternal II,0,239.0,5,0,0,5,2025,0.019417862207853187,2125526,45.588660611673205,0.14772727272727273,35.30681818181819,PPML-FE base replicado
2026,DEODORO,Bercario,0,231.0,5,5,0,0,2025,0.019417862207853187,2125526,94.96192018664969,0.3389830508474576,78.30508474576271,PPML-FE base replicado
2026,DEODORO,Maternal I,0,122.0,5,0,5,0,2025,0.019417862207853187,2125526,75.44836119714076,0.4012738853503185,48.955414012738856,PPML-FE base replicado
2026,DEODORO,Maternal II,0,157.0,5,0,0,5,2025,0.019417862207853187,2125526,47.14640732962981,0.25,39.25,PPML-FE base replicado
2026,ENCANTADO,Bercario,0,179.0,5,5,0,0,2025,0.019417862207853187,2125526,39.53145808883416,0.2074468085106383,37.13297872340426,PPML-FE base replicado
2026,ENCANTADO,Maternal I,0,93.0,5,0,5,0,2025,0.019417862207853187,2125526,30.89763392142353,0.42857142857142855,39.857142857142854,PPML-FE base replicado
2026,ENCANTADO,Maternal II,0,91.0,5,0,0,5,2025,0.019417862207853187,2125526,14.68056054269539,0.19791666666666666,18.010416666666664,PPML-FE base replicado
2026,ENGENHEIRO LEAL,Bercario,0,96.0,5,5,0,0,2025,0.019417862207853187,2125526,24.551040706281846,0.06896551724137931,6.620689655172414,PPML-FE base replicado
2026,ENGENHEIRO LEAL,Maternal I,0,70.0,5,0,5,0,2025,0.019417862207853187,2125526,26.930795730684544,0.4090909090909091,28.636363636363637,PPML-FE base replicado
2026,ENGENHEIRO LEAL,Maternal II,0,66.0,5,0,0,5,2025,0.019417862207853187,2125526,12.329743805633843,0.4098360655737705,27.049180327868854,PPML-FE base replicado
2026,ENGENHO DENTRO,Bercario,0,684.0,5,5,0,0,2025,0.019417862207853187,2125526,146.44380291964288,0.22772277227722773,155.76237623762376,PPML-FE base replicado
2026,ENGENHO DENTRO,Maternal I,0,366.0,5,0,5,0,2025,0.019417862207853187,2125526,117.88226028081245,0.38676844783715014,141.55725190839695,PPML-FE base replicado
2026,ENGENHO DENTRO,Maternal II,0,393.0,5,0,0,5,2025,0.019417862207853187,2125526,61.46372693825453,0.16745283018867924,65.80896226415094,PPML-FE base replicado
2026,ENGENHO NOVO,Bercario,0,670.0,5,5,0,0,2025,0.019417862207853187,2125526,178.13261281963807,0.30687830687830686,205.6084656084656,PPML-FE base replicado
2026,ENGENHO NOVO,Maternal I,0,428.0,5,0,5,0,2025,0.019417862207853187,2125526,171.18467272510534,0.2897196261682243,123.99999999999999,PPML-FE base replicado
2026,ENGENHO NOVO,Maternal II,0,428.0,5,0,0,5,2025,0.019417862207853187,2125526,83.12350514333843,0.11926605504587157,51.04587155963303,PPML-FE base replicado
2026,ENGENHO RAINHA,Bercario,0,448.0,5,5,0,0,2025,0.019417862207853187,2125526,118.71286327525998,0.23319327731092437,104.47058823529412,PPML-FE base replicado
2026,ENGENHO RAINHA,Maternal I,0,248.0,5,0,5,0,2025,0.019417862207853187,2125526,98.86075419038411,0.3602941176470588,89.3529411764706,PPML-FE base replicado
2026,ENGENHO RAINHA,Maternal II,0,272.0,5,0,0,5,2025,0.019417862207853187,2125526,52.65021073863562,0.16996047430830039,46.2292490118577,PPML-FE base replicado
2026,ESTACIO,Bercario,0,328.0,5,5,0,0,2025,0.019417862207853187,2125526,116.711816364048,0.31142857142857144,102.14857142857143,PPML-FE base replicado
2026,ESTACIO,Maternal I,0,175.0,5,0,5,0,2025,0.019417862207853187,2125526,93.6766832142469,0.34831460674157305,60.95505617977528,PPML-FE base replicado
2026,ESTACIO,Maternal II,0,178.0,5,0,0,5,2025,0.019417862207853187,2125526,46.26711612610225,0.17766497461928935,31.624365482233504,PPML-FE base replicado
