codigo_unidade,ano_previsao,demanda_prevista_inscritos,demanda_prevista_efetiva,demanda_efetiva_p025,demanda_efetiva_p975,capacidade_ano_anterior
2009,2026,,54.826119919125794,,,
918617,2026,,54.7016970394448,,,
10082,2026,,54.57279786691406,,,
918824,2026,,54.39402214967631,,,
430807,2026,,54.28029100006215,,,
2001,2026,,54.14274893142226,,,
313604,2026,,54.06865918450966,,,
209610,2026,,53.71345344015828,,,
918823,2026,,53.31364339943391,,,
3009,2026,,52.78183878090936,,,
209609,2026,,52.78172438317783,,,
312801,2026,,52.72907955671141,,,
103604,2026,,52.66432325504543,,,
10018,2026,,52.54347187992799,,,
4043,2026,,52.446317162164895,,,
918826,2026,,52.04650877817065,,,
918827,2026,,51.83522374227304,,,
3029,2026,,51.75835327742694,,,
410807,2026,,51.59435202774215,,,
431605,2026,,51.37164138754069,,,
208801,2026,,51.217229439897615,,,
625610,2026,,51.18525473500579,,,
205801,2026,,51.09654210471869,,,
107603,2026,,51.0463282711783,,,
431802,2026,,51.03320953868084,,,
4039,2026,,51.02451745488844,,,
101801,2026,,50.8916528846485,,,
209601,2026,,50.8716743963992,,,
1019611,2026,,50.86702376473926,,,
8008,2026,,50.75127725015492,,,
10061,2026,,50.74991407801167,,,
833806,2026,,50.73076936840141,,,
918817,2026,,50.56785444678344,,,
10010,2026,,50.22517869266771,,,
918814,2026,,50.180281620160926,,,
103804,2026,,50.03239708831989,,,
2054,2026,,49.92919809302039,,,
514801,2026,,49.91416686483686,,,
1019801,2026,,49.80763273246227,,,
3035,2026,,49.74385595705265,,,
107609,2026,,49.67908354598983,,,
10037,2026,,49.67356877571975,,,
2022,2026,,49.6512601478943,,,
10078,2026,,49.62817671866371,,,
313602,2026,,49.598745268923984,,,
10029,2026,,49.39964012059762,,,
622805,2026,,49.20350722984586,,,
716611,2026,,48.968162588327424,,,
209607,2026,,48.679323452402265,,,
3001,2026,,48.57692603390799,,,
2014,2026,,48.44748813643676,,,
1019631,2026,,48.440744057013454,,,
2019,2026,,48.1205526309363,,,
206606,2026,,48.08163183747232,,,
2038,2026,,48.03136758006925,,,
2011,2026,,47.96847964318029,,,
313606,2026,,47.94043795639735,,,
103805,2026,,47.93176443787823,,,
330602,2026,,47.82939646904085,,,
918808,2026,,47.673925985951456,,,
208606,2026,,47.67249505295046,,,
2041,2026,,47.65008012853636,,,
1005,2026,,47.54906647015542,,,
10023,2026,,47.51790962725153,,,
10063,2026,,47.44240914718299,,,
918621,2026,,47.30389827870472,,,
2016,2026,,46.74373184798833,,,
7002,2026,,46.72451217932502,,,
103602,2026,,46.66335672899112,,,
918615,2026,,46.633235743312376,,,
10033,2026,,46.60533084407941,,,
1026803,2026,,46.33895743620592,,,
8002,2026,,46.33185752944691,,,
3034,2026,,46.30336052864362,,,
1026604,2026,,45.9933742302235,,,
3031,2026,,45.97076939108566,,,
411605,2026,,45.94290241432799,,,
514601,2026,,45.8326513175047,,,
10064,2026,,45.82507488399993,,,
5004,2026,,45.79034438885217,,,
313609,2026,,45.61807773005644,,,
6005,2026,,45.51355252566744,,,
3023,2026,,45.51057331142022,,,
918825,2026,,45.426206509413845,,,
8006,2026,,45.35321691205348,,,
4037,2026,,45.34763565609748,,,
9012,2026,,45.29690622868647,,,
10028,2026,,45.26836401081716,,,
1019827,2026,,45.26706921518411,,,
625608,2026,,45.21079652029458,,,
3018,2026,,44.81731973532492,,,
103802,2026,,44.76934231565953,,,
4026,2026,,44.37876989229453,,,
918836,2026,,44.20620365279549,,,
328604,2026,,43.776316813723575,,,
817611,2026,,43.65054430905771,,,
313601,2026,,43.45207665907685,,,
9018,2026,,43.403388897017486,,,
7010,2026,,43.394886390937536,,,
3032,2026,,42.97870021426618,,,
1019603,2026,,42.93847372261976,,,
410803,2026,,42.937802095105546,,,
430802,2026,,42.85243313557029,,,
724605,2026,,42.82184237217892,,,
1019621,2026,,42.81517420307696,,,
716804,2026,,42.51965395501284,,,
1026805,2026,,42.47788785368835,,,
833803,2026,,42.46735877490506,,,
1026802,2026,,42.46211369423395,,,
10009,2026,,42.299394119200656,,,
9039,2026,,42.26346395252478,,,
411603,2026,,42.2545541201049,,,
716816,2026,,42.090043665927226,,,
411803,2026,,41.90131440283463,,,
833801,2026,,41.89011587480926,,,
833809,2026,,41.77542748766919,,,
4013,2026,,41.748058089560026,,,
1019810,2026,,41.46599137978369,,,
918604,2026,,41.34149632953972,,,
10070,2026,,41.15720753926469,,,
724808,2026,,40.85255937094636,,,
204806,2026,,40.693833208323184,,,
4028,2026,,40.67149089890352,,,
107608,2026,,40.63510186276776,,,
209606,2026,,40.58862535840679,,,
1120802,2026,,40.56084552631535,,,
918607,2026,,40.53217105700462,,,
716601,2026,,40.48487299254427,,,
724809,2026,,40.39703981824128,,,
918812,2026,,40.26161340584944,,,
9010,2026,,40.16025811999421,,,
9037,2026,,40.00530229032204,,,
1120601,2026,,39.96476282268883,,,
2006,2026,,39.94664770224826,,,
2061,2026,,39.89936831235501,,,
10020,2026,,39.728040407001615,,,
2042,2026,,39.59576991058177,,,
2018,2026,,39.53929451932916,,,
430812,2026,,39.52404662501472,,,
817613,2026,,39.49194202303627,,,
716602,2026,,39.45037542530867,,,
7017,2026,,38.89595633374881,,,
1019809,2026,,38.74652708109163,,,
101604,2026,,38.55558748053137,,,
411602,2026,,38.43062309559553,,,
430803,2026,,38.35925267672491,,,
410603,2026,,38.02547424923061,,,
10053,2026,,37.89854978505946,,,
833810,2026,,37.5054130966911,,,
10008,2026,,37.35773768228206,,,
10068,2026,,37.28862537949795,,,
206605,2026,,37.28351399540769,,,
7011,2026,,37.26008964916869,,,
918614,2026,,37.1612747553533,,,
3010,2026,,37.03304096303119,,,
2026,2026,,36.981007110609326,,,
9043,2026,,36.931948623209685,,,
724604,2026,,36.8666072333931,,,
716824,2026,,36.695044971075376,,,
1019632,2026,,36.58830471976672,,,
107606,2026,,36.53639792305064,,,
330601,2026,,36.38311543171555,,,
1019802,2026,,36.346708338017976,,,
918618,2026,,36.01612283075677,,,
101606,2026,,35.98916708007211,,,
10074,2026,,35.92872666866685,,,
716815,2026,,35.91761925931319,,,
430604,2026,,35.802411473711814,,,
3005,2026,,35.75863497200153,,,
2063,2026,,35.67533711130767,,,
10083,2026,,35.62221894054313,,,
2031,2026,,35.52511307761583,,,
1019630,2026,,35.406255884679055,,,
918801,2026,,35.30735571745318,,,
514604,2026,,35.29650521521489,,,
1120602,2026,,35.266456891066376,,,
10013,2026,,35.194721778483725,,,
1019804,2026,,35.152148852068535,,,
3017,2026,,35.1455130108864,,,
