ano_referencia,codigo,nome,tipo_oferta,tipo_unidade,cre,microarea,endereco,bairro,latitude,longitude,matriculas_total,mat_bercario,mat_maternal_1,mat_maternal_2,turmas_total,capacidade_meta,vagas_reportadas,fila_total,fila_bercario,fila_maternal_1,fila_maternal_2,fila_por_100_matriculas,classe_pressao_fila,referencia_matriculas,demanda_prevista,gap_demanda_oferta,prioridade_modelo
2025,9013,CP CRECHE COMUNITÁRIA SOL DO SABER,Parceira,Creche Parceira,9.0,9.7,"RUA ARCEBURGO, LOTE 5",SANTÍSSIMO,-22.87444,-43.52549,108.0,17.0,41.0,50.0,0.0,110.0,0.0,27.0,16.0,11.0,0.0,25.0,25 a 75 por 100 matriculados,Maio de 2025,,,
2025,8023,CP CRECHE COMUNITÁRIA IRMÃ MARIA DE LOURDES,Parceira,Creche Parceira,8.0,8.8,"ESTR. SARGENTO MIGUEL FILHO, 371",VILA KENNEDY,-22.85592,-43.48252,70.0,0.0,35.0,35.0,0.0,72.0,0.0,27.0,0.0,0.0,27.0,38.57142857142857,25 a 75 por 100 matriculados,Maio de 2025,,,
2025,7043,CP ESPAÇO DE EDUCAÇÃO INFANTIL PEQUENO APRENDIZ,Parceira,Creche Parceira,7.0,7.25,"ESTRADA DOS BANDEIRANTES, 11227 - VIA A - S/Nº",VARGEM PEQUENA,-22.98893,-43.44052,68.0,25.0,21.0,22.0,0.0,70.0,0.0,27.0,7.0,3.0,17.0,39.705882352941174,25 a 75 por 100 matriculados,Maio de 2025,,,
2025,4006,CP COMUNIDADE INSTITUCIONAL ADULÃO TEMPO FELIZ,Parceira,Creche Parceira,4.0,4.11,"RUA CABO REIS, 15",BONSUCESSO,-22.85972933,-43.25933213,64.0,8.0,25.0,31.0,0.0,69.0,1.0,27.0,15.0,7.0,5.0,42.1875,25 a 75 por 100 matriculados,Maio de 2025,,,
2025,2004,CP AÇÃO SOCIAL PADRE ANCHIETA - ASPA,Parceira,Creche Parceira,2.0,2.6,"TRAVESSA LUZ, 13",ROCINHA,-22.98990458,-43.25124153,152.0,24.0,66.0,62.0,0.0,160.0,0.0,26.0,24.0,2.0,0.0,17.105263157894736,Até 25 por 100 matriculados,Maio de 2025,,,
2025,9014,CP INSTITUTO DE ENSINO AVANÇADO,Parceira,Creche Parceira,9.0,9.13,"RUA FLORENTINO ÁVIDOS, 195",COSMOS,-22.91434,-43.61417,140.0,17.0,63.0,60.0,0.0,140.0,0.0,26.0,20.0,3.0,3.0,18.571428571428573,Até 25 por 100 matriculados,Maio de 2025,,,
2025,330601,Creche Municipal José de Vieira da Silva,Pública,Creche,3.0,3.23,Estrada do Itararé 480 Rua Nova,Complexo do Alemão - Ramos,-22.861757,-43.270948,73.0,25.0,25.0,23.0,3.0,0.0,0.0,26.0,11.0,12.0,3.0,35.61643835616438,25 a 75 por 100 matriculados,Consolidado público de 2025,,,
2025,430601,Creche Municipal Menino Maluquinho,Pública,Creche,4.0,4.5,Rua Projetada S/Nº - Vila Pinheiro s/nº - Maré,Bonsucesso,-22.871385,-43.238471,50.0,0.0,0.0,50.0,2.0,0.0,0.0,26.0,0.0,0.0,26.0,52.0,25 a 75 por 100 matriculados,Consolidado público de 2025,,,
2025,1026604,Creche Municipal Josepha Ferreira da Costa,Pública,Creche,10.0,10.28,Rua Caminho do Areal - Largo do Corrêa s/nº,Guaratiba,-22.954726,-43.582599,286.0,50.0,98.0,138.0,12.0,0.0,0.0,25.0,8.0,17.0,0.0,8.741258741258742,Até 25 por 100 matriculados,Consolidado público de 2025,,,
2025,5014,CP AEMMAC - MARECHAL HERMES,Parceira,Creche Parceira,5.0,5.14,"RUA CAROLINA MACHADO, 1882",MARECHAL HERMES,-22.86148952,-43.36831059,219.0,36.0,97.0,86.0,0.0,222.0,0.0,25.0,21.0,3.0,1.0,11.415525114155251,Até 25 por 100 matriculados,Maio de 2025,,,
2025,1026601,Creche Municipal Sonho de Criança,Pública,Creche,10.0,10.28,"Rua Da Pedreira, 11- Mato Alto",Guaratiba,-22.972751,-43.590149,168.0,31.0,34.0,103.0,9.0,0.0,0.0,25.0,1.0,24.0,0.0,14.880952380952381,Até 25 por 100 matriculados,Consolidado público de 2025,,,
2025,625816,Espaço de Desenvolvimento Infantil Professora Regina Celi Rabelo de Almeida,Pública,EDI,6.0,6.1,Rua José Joaquim Ferreira S/N,Pavuna,-22.814742,-43.355257,108.0,25.0,38.0,45.0,5.0,0.0,0.0,25.0,24.0,1.0,0.0,23.14814814814815,Até 25 por 100 matriculados,Consolidado público de 2025,,,
